S,R,O
sand,has property,gritty
clock,used for,set alarm
cloth,used for,dry dish
indian ocean,used for,fish
jump out of window,used for,escape
mother,used for,love
toy soldier,used for,play war game
hardware shop,used for,buy hardware
wrestle,has subevent,sweat
swim,used for,exercise
go to movie,has subevent,laugh
glove,used for,protect your hand
wash machine,used for,wash clothe
screwdriver,used for,insert screw
movie house,used for,watch movie
sister,is a,female sibling
hourglass,used for,measure time
whale,is a,marine mammal
go for swim,motivated by goal,exercise
tree,has property,green
shirt,used for,wear
entertain person,used for,make them laugh
send e-mail,has subevent,type message
microphone,used for,amplify sound
diminish your own hunger,has subevent,eat food
be cold,causes desire,get warm
mountain,has property,very large
exercise,has subevent,run
water,capable of,fill bucket
umbrella,used for,stay dry in rain
tin,used for,hold cookie
string instrument,used for,play music
family room,used for,play game
cook dinner,has subevent,boil water
ticket booth,used for,sell ticket
sew,used for,make clothe
hear testimony,used for,jury
telephone booth,used for,make telephone call
monocle,used for,see
verb,is a,action word
memo pad,used for,take note
car park,used for,park car
have bath,has subevent,wash
add up number,causes,get total
be,is a,insect
hook,used for,catch fish
person,capable of,build house
north dakota,is a,state
harpsichord,is a,musical instrument
dine room,is a,room where person eat
body,at location,coffin
sand,at location,sandbox
park lot,at location,city
cafe,at location,city
dog,at location,dog house
small dog,at location,yard
wiener dog,at location,germany
scale,at location,fish
potato,at location,ireland
mouse,at location,corn field
frog,at location,pond
pencil,at location,pencil-case
garbage,at location,garbage can
unite state,at location,north america
movie theater,at location,mall
monkey,at location,south america
blanket,at location,bedroom
shop arcade,at location,town
boy,at location,playground
meat,at location,butch shop
heifer,at location,barnyard
snake,at location,field
foot,at location,sock
kitten,at location,bed
fungus,at location,your toenail
grape,at location,fridge
kite,at location,air
container,at location,refrigerator
mouse,at location,hole
taxiway,at location,airport
water,at location,ocean
radio studio,at location,build
puzzle,at location,toy store
bill,at location,restaurant
creature,at location,forest
skylight,at location,roof
shop arcade,at location,mall
hair shape gel,at location,bathroom
utility case,at location,garage
toll road,at location,unite state
box,at location,closet
potato,at location,root cellar
wheat,at location,field
cafeteria,at location,school
motherboard,part of,computer
steak,receives action,grill
comb,made of,plastic
person,desires,be happy
injury,causes,pain
earthquake,is a,natural disaster
window,is a,operate system
python,is a,program language
apple,at location,house
google,is a,search engine
grizzly,is a,bear
sneeze,has subevent,close your eye
flute,used for,make music
tree,made of,wood
person,not desires,lose friend
knife,at location,in kitchen
onion,is a,vegetable
comb,used for,comb hair
star,is a,sun
money,used for,buy thing
hole,at location,grind
apple juice,made of,apple
stone,has property,hard
pine tree,is a,tree
ruler,used for,measure
exercise,causes,lose weight
beer,is a,beverage
breakfast,is a,meal
desk,is a,furniture
radish,is a,vegetable
crab,is a,seafood
drink alcohol,causes,you get drunk
singer,capable of,sing
wall,has property,vertical
eat,causes,feel full
television,at location,live room
pillow,part of,bed
go to work,has prequisite,get dress
violin,is a,musical instrument
rain,is a,weather
seat,at location,in car
car,used for,drive
car,at location,in garage
glass,made of,sand
roof,part of,house
grapefruit,is a,fruit
classical,is a,music
sister,is a,sibling
hate,is a,emotion
sun,is a,star
chocolate,has property,brown
reporter,is a,job
person,not desires,die
dog,capable of,live in dog house
sofa,at location,in live room
fire,used for,cook
person,is a,mammal
snow,has property,white
oven,used for,bake
person,not desires,pain
exercise,causes,thirst
toothbrush,at location,bathroom
cow,capable of,give milk
winter,related to,snow
atlanta,is a,city
coffee,is a,beverage
asia,is a,continent
wasp,is a,insect
bowl,is a,sport
norway,is a,country
tank,is a,weapon
new zealand,is a,country
fox,is a,animal
penguin,is a,animal
anteater,is a,mammal
skate,is a,fish
eel,is a,fish
austria,is a,country
yellow,is a,colour
red,is a,colour
grass,not has property,green
language,used for,communication
masturbation,causes,orgasm
cactus,at location,desert
rope,used for,tie thing
ring,at location,finger
masturbation,causes,ejaculation
chapter,part of,of book
flower,at location,vase
phone,used for,communication
technology,has property,change
dart,is a,game of skill
music,is a,art
ear,not capable of,talk
reptile,has property,cold blood
lizard,is a,cold-blooded animal
some bird,not capable of,migrate in winter
rock climb,has property,dangerous
paper,has property,make from tree
book,has a,spine
rubber ducky,has property,yellow
comb,has a,tooth
family,has property,important
movie,has property,fun
skyscraper,defined as,very tall build
champagne,has property,serve cold
horse,capable of,jump very high
pen,is a,mighty than sword
cheese,has property,good to eat
dog,receives action,train
horse,is a,domestic animal
hat,has property,brown
wine,receives action,make from grape
stopwatch,used for,measure time
bisexual,is a,sexuality
man,is a,play saxophone
man,is a,change tire
this,is a,bicycle
this,is a,ticket
some plant,has property,poisonous
pay bill,has subevent,write out check
hike,has prequisite,go to mountain
condom,used for,prevent pregnancy
turtle,has a,hard shell
garden,used for,grow vegetable
get fit,has prequisite,lift weight
win baseball game,has prequisite,hit ball
fat lady,at location,opera
water,receives action,boil
monopoly,is a,board game
food,at location,resturant
religious tract,at location,church
monarchy,is a,form of government
person,not capable of,breathe water
live,causes,die
exercise,has prequisite,go to gym
wash your clothe,has prequisite,take them off
flight attendant,at location,plane
apple,defined as,fruit of apple tree
tree,capable of,fall down
milk,has a,calcium
closet,at location,clothe in bedroom
key,capable of,start car
grocery,at location,supermarket
bread,has a,yeast
hammer,at location,tool box
sex,capable of,be wonderful thing
beaver,at location,zoo
electric socket,at location,wall
window,at location,build
tape television show,has prequisite,vcr
look through telescope,has prequisite,have telescope
sex,is a,enjoyable activity
purple,is a,color
commit perjury,causes,go to jail
home,is a,where heart be
dine room,used for,eat in
chess knight,used for,play chess
add up column of number,has prequisite,math
take bus,has subevent,read newspaper
smoke,has property,bad for your health
tool,used for,make thing
puck,used for,play hockey
spoon,used for,eat ice cream
ball,at location,soccer game
mouse,at location,cellar
sex,capable of,feel good
use vcr,has prequisite,turn it on
star,at location,galaxy
sit down,has subevent,relax
note,at location,desk
dance samba,causes,sweat
hotel room,used for,sleep in
express information,has subevent,talk
son,has property,male
kiss,has prequisite,lip
curtain,used for,cover window
empire state build,is a,in new york city
buy something,has prequisite,pay
cat,capable of,climb up tree
eat,has prequisite,find food
field,at location,countryside
planet,at location,outerspace
woman,capable of,part her hair
jam bond,is a,spy
wait room,at location,doctor office
have lunch,motivated by goal,you be hungry
sit on chair,has prequisite,have chair
tablespoon,at location,kitchen drawer
bicycle,has property,fun to ride
do crossword puzzle,causes,learn new word
mailbox,at location,post office
study,has prequisite,read book
smoke,has property,hazardous to your health
ticket window,at location,train station
battle,part of,war
scale,used for,measure weight
read newspaper,has subevent,turn page
salad bowl,used for,serve salad
kitten,is a,cat
play soccer,has prequisite,join team
pencil sharpener,at location,desk
play sport,has subevent,sweat
ski,is a,winter sport
glue,is a,substance
island,is a,piece of land
friend,capable of,keep secret
beer keg,at location,fraternity house
twenty-six letter,at location,english alphabet
see person play game,has subevent,cheer
boy,capable of,cry wolf
highlighter pen,at location,desk
child,is a,small than adult
tv,at location,family room
student,desires,learn
earth,is a,one astronomical unit from sun
son,is a,male child
stapler,at location,desktop
something,at location,top of mountain
waiter,capable of,serve food
bird,has a,two wing
motorcycle,has a,two wheel
chess king,used for,play chess
person,capable of,board ship
soprano,at location,choir
kitten,at location,lap
plant,has a,flower
wash your car,causes,get wet
skeleton,at location,closet
something,at location,earth
screen,at location,movie
cook,capable of,bread chicken breast
pork,is a,meat
child,desires,hear story
car,capable of,cost lot of money
rent apartment,used for,live in
propose to woman,has subevent,kneel
company,capable of,market product
mail,at location,mail box
boy,at location,school
have examination,has prequisite,go to doctor
pen,at location,school
program computer,has prequisite,learn computer language
map,at location,library
play violin,has prequisite,practice
get warm,has prequisite,turn up heat
add up column of number,has prequisite,use calculator
glass front cupboard,at location,dine room
climb,has prequisite,get rope
go see film,has prequisite,go to movie theater
get warm,causes,sweat
beer,has a,alcohol
rent apartment,at location,city
talk,causes,dry mouth
locksmith,capable of,pick lock
brazil,is a,in south america
someone,at location,amusement park
bathroom,used for,take bath
dentist,capable of,pull tooth
bring in verdict,has prequisite,be in jury
knob,used for,open door
piano,used for,perform music
wall,at location,fridge
take car for drive,has subevent,accident
reach tentative agreement,has subevent,you shake hand
diminish your own hunger,has subevent,you eat some food
potato,at location,your pantry
memorize,has subevent,you remember
ring,at location,jewelry store
gambler,at location,casino
number,at location,phone book
pizzeria,used for,buy pizza
letter opener,used for,open envelope
toothbrush,at location,suitcase
vegetable garden,used for,grow pea
plane ticket,used for,travel
cookie,at location,cookie jar
human,at location,jail
learn about subject,has prequisite,read book
cannon,used for,shoot cannonball
play baseball,has subevent,sweat
forklift,used for,lift
kill,used for,end life
get some physical activity,has subevent,get tire
rest,has prequisite,relax
pray,causes,relief
check vital sign,has subevent,take pulse
go to baseball game,has subevent,eat hotdog
shade,used for,block sunlight
costume,at location,opera
fall,has prequisite,lose your balance
bird,at location,park
library,used for,borrow book
oxygen,is a,element
get onto web,has prequisite,computer
utah,is a,state
live life,causes,die
meet person,has prequisite,go to party
person,has a,two eye
nebraska,is a,state
vermont,is a,state
florida,is a,state
oregon,is a,state
pumpkin,has property,orange
all person,has property,human
see your idea become reality,has subevent,celebrate
have bath,has prequisite,turn on water
watch movie,has subevent,fall asleep
person,desires,play game
become more clean,has prequisite,wash
clothe shelf,used for,store clothe
go for run,causes,sweat
copulate,causes,pregnancy
butter,is a,dairy product
tile,used for,cover wall
calculate thing quickly,has prequisite,use calculator
cottage,used for,live in
italian restaurant,at location,city
fall,causes,get hurt
wash your clothe,has prequisite,use wash machine
walk dog,has prequisite,put dog on leash
eat dinner,has subevent,chew
star,at location,outerspace
buy house,has prequisite,money
tourniquet,used for,stop bleed
get some physical activity,has subevent,sweat
billboard,at location,city
play game,has subevent,lose
stop be marry to someone,has prequisite,file for divorce
rain,has property,water fall from sky
clothe,at location,house
rug,used for,floor cover
urinate,has prequisite,go to bathroom
bass fiddle,used for,make music
insect,has a,six leg
head,used for,think
corn,at location,can
carpet,at location,bedroom
box,at location,post office
sleep,causes,dream
paper punch,used for,make hole in paper
beam,used for,support roof
go to store,causes,buy thing
take final exam,has subevent,write essay
city,at location,country
wardrobe,at location,bedroom
politician,capable of,duck issue
play poker,has prequisite,get deck of card
pencil,at location,drawer
human,at location,space shuttle
cat,not capable of,fly
cigarette smoke,causes,cancer
ferris wheel,at location,fairground
mug,used for,drink coffee
letter,at location,mail
smoke,has subevent,light cigarette
fireman,has a,dangerous job
see art,has prequisite,go to art gallery
waiter,at location,resturant
have shower,causes,feel clean
audience,at location,movie
expressway,at location,city
golden retriever,is a,breed of dog
information,at location,library
brown,is a,color
food,at location,cupboard
picnic table,at location,park
helium balloon,at location,circus
someone,at location,bus stop
something,at location,bus stop
attribute,used for,describe something
something,at location,bed
fart,has prequisite,eat bean
butter,capable of,spread at room temperature
mother,capable of,care for child
dust,at location,closet
steal,has property,bad
tape television show,has prequisite,set vcr
boat,used for,travel
dog,has a,tail
love someone else,has subevent,kiss them
dog,has a,wet nose
stand in queue,has prequisite,get in line
dish,at location,table
this,is a,live room
go into coma,has subevent,lose consciousness
judge,capable of,fine defendant
cut your hair,has prequisite,go to hairdresser
walk in rain,has subevent,hold umbrella
fingerprint,at location,your finger
student,capable of,doubt teacher
examine thing,causes,thing to be change
live life,has subevent,learn
headline,at location,newspaper
have rest,has subevent,snore
become scuba diver,has prequisite,train
mayor,used for,run town
get in line,has prequisite,find end of line
something,at location,museum
paint picture,has prequisite,paint
president,capable of,govern nation
something,at location,dump
have haircut,has subevent,talk with barber
serve customer,has subevent,smile
car,has a,trunk
ride horse,has prequisite,saddle up
birthday,causes desire,bake cake
ice,used for,cool drink
go see play,has prequisite,go to theater
letter,at location,mail box
dog,has a,tooth
rest,has prequisite,sleep
play piano,causes,music
person,capable of,experience pain
breathe,has prequisite,air
window curtain,used for,decorate window
have heart attack,has prequisite,take aspirin
ad,at location,newspaper
someone,at location,police station
something,at location,doctor office
walk,has prequisite,stand up
board game,used for,pass time
alto,used for,sing
floor,at location,desk
person,capable of,study in library
cage,at location,zoo
earth,at location,orbit
electronics store,used for,buy electronics
satellite,at location,space
person,capable of,plant flower
do housework,has subevent,clean toilet
someone,at location,sea
seat,is a,sit on
apple tree,at location,washington state
play sport,has subevent,have injury
curtain,at location,window
take bath,has subevent,get clean
furnace,at location,cellar
grocer,used for,sell food
use vcr,has prequisite,tv
forest,at location,countryside
dream,has prequisite,go to sleep
cat,has a,flea
leather,is a,material
flask,used for,store liquid
type,has prequisite,use keyboard
wait in line,causes,frustration
fish,used for,catch fish
rabbit,is a,pet
quill brush,used for,write
mug,at location,cupboard
go into trance,has subevent,close your eye
something,at location,hand
see excite story,has prequisite,go to movie
clock,used for,measure time
italian restaurant,used for,eat italian food
urinate,has prequisite,go to toilet
breathe some fresh air,has prequisite,inhale
handbag,used for,carry makeup
first class airplane seat,used for,travel
book,has a,page
family,is a,group of relate person
cash in,has subevent,get money
spit,has prequisite,gather saliva
buy shirt,has subevent,pay for it
go to school,has prequisite,enroll in class
container,used for,hold thing
bridge,capable of,cross river
send criminal to prison,has prequisite,convict him
wash your hand,has subevent,use soap
person,capable of,own property
wait your turn,has prequisite,stand in line
chinese restaurant,used for,eat chinese food
emu,is a,flightless bird
take bath,has prequisite,fill tub with water
chef,capable of,bread chicken
bar stool,used for,sit at bar
some mushroom,has property,poisonous
hairdryer,used for,dry hair
hear music,has prequisite,listen
ocean,used for,fish
copulate,has prequisite,find mate
have friend over,has prequisite,invite them
sleep at night,causes,dream
sculpture,at location,art show
go to mall,has subevent,shop
jewelry,at location,jewelry box
something you find upstairs,is a,bedroom
chocolate,at location,box
knife,capable of,butter bread
kiss,is a,way to show affection
something,at location,north pole
dart,has a,sharp point
take oath,has subevent,put your hand on bible
sun,capable of,heat earth
pencil,at location,classroom
clean,has prequisite,get clean supply
beach towel,at location,beach
stay fit,causes,be healthy
tree,capable of,grow leave
see old thing,has prequisite,go to antique store
all live thing,capable of,die
have party,has subevent,dance
religion,causes,war
instrument,used for,make music
town,at location,state
car,has a,wheel
bedroom,used for,have sex
mercury,defined as,first planet from sun
use vcr,has prequisite,plug it in
bar,is a,place
some music,has property,relax
study for subject,has subevent,read book
clarinet,used for,make music
sculpture,at location,museum
beaver,is a,rodent
swim,has prequisite,go to pool
fruit,at location,market
read newspaper,has prequisite,eye
go fish,has subevent,buy bait
be hungry,causes desire,eat dinner
ski,causes,break leg
someone,at location,grocery store
meet girl,causes,sex
roll stone,capable of,gather no moss
leg,at location,table
study for subject,has subevent,read
stop your bicycle,has prequisite,use brake
gym,at location,school
person,at location,theater
business,used for,make money
money,at location,pocket
french fry,at location,fast-food restaurant
sleep,causes desire,snore
make bread,motivated by goal,eat bread
set cup on table,has prequisite,have table
mercury,is a,only metal
paint,at location,museum
traffic light,at location,corner of two street
60 minute,at location,hour
paper,used for,draw
chicken,not has a,lip
cheque,used for,pay bill
alcoholic,at location,bar
something,at location,garden
play game,has subevent,you lose
pizza,is a,disc-shaped food item
knowledge,is a,powerful thing
champagne,is a,alcoholic beverage
planet,is a,large object
chimney,at location,on roof
pencil,at location,at school
kill someone,has prequisite,have weapon
phone number,at location,phone book
safety pin,used for,hold fabric together
one person,is a,person
corn,is a,plant
plunger,used for,unplug drain
scale,used for,compare weight
kitten,has property,adorable
religion,defined as,opiate of mass
fruit,has property,nutritious
peace,defined as,opposite of war
president,defined as,leader of unite state
saxophone,is a,wind instrument
skyscraper,has property,very tall
child,has property,small
mask,used for,hide one identity
cheese,has property,edible
turtle,capable of,hide in their shell
murder,has property,wrong
attend class,causes,learn
star,is a,distant sun
person,capable of,wear jean
salt,used for,cure meat
fork,used for,eat steak
moon,is a,sphere
key,used for,unlock lock
play frisbee,used for,play in park
doll,used for,play
fruit,has property,colorful
computer,used for,surf internet
teacher,desires,interest student
box,made of,cardboard
world,is a,big place
play game,motivated by goal,relax
sea,is a,large body of salt water
frog,capable of,swim
urinate,causes,feel relief
apartment build,used for,person to live in
kitten,has property,small
bomb,is a,explosive device
chef,capable of,cook dinner
pen,used for,write word
person,capable of,lie down
get good grade,has subevent,celebrate
play game,motivated by goal,win
microwave oven,capable of,heat food
plant,capable of,produce oxygen
oboe,used for,play in orchestra
person,desires,good thing in life
sun,used for,light
turnpike,used for,drive
have party,has subevent,drink beer
basket with handle,used for,carry thing
catch mumps,causes,sickness
down,defined as,opposite of up
curl iron,used for,curl straight hair
nose,used for,breathe
person,desires,praise
someone,capable of,play golf
love,capable of,hurt
cat,is a,pet
buy hamburger,causes,have less money
play game,causes,enjoyment
person,capable of,wait in line
go for drive,has prequisite,get in car
smoke,has subevent,inhale
sun,capable of,rise in morning
can,used for,store food
light match,used for,start fire
dog,has property,loyal
nicotine,has property,addictive
king,used for,rule country
eye,capable of,see light
door knob,used for,open door
lie,motivated by goal,protect someone
go to performance,causes,boredom
soldier,used for,protect country
show,used for,entertainment
bell,used for,get attention
moon,used for,keep track of time
mansion,is a,house
motel,used for,overnight stay
person,desires,goal
puzzle,used for,entertainment
bus,is a,form of transportation
go to film,motivated by goal,see movie
national interstate highway,used for,drive on
apply for job,used for,get job
bath shower,used for,get clean
harmonica,is a,instrument
pay by credit card,causes,debt
someone,capable of,jump
ignorance,causes desire,find information
train track,used for,train
go to store,has prequisite,make list
kiss,causes,arousal
hate,causes desire,destroy your enemy
leg,used for,run
read newspaper,motivated by goal,it be informative
get exercise,causes,good health
sit down,used for,rest
snow,used for,make snowman
cook meal,used for,feed family
person,capable of,ask question
something,at location,police station
jean,used for,wear
attend rock concert,causes,ring ear
person,capable of,enter house
forest,is a,group of tree
ski,has prequisite,put on ski
kill someone,causes,someone die
get up early,has subevent,set your alarm clock
chest,used for,store thing
something,at location,hole
hear music,has subevent,sing
comb,used for,hair
couple,capable of,watch movie
hear news,causes,sadness
watch tv show,used for,entertainment
fee your family,has prequisite,buy grocery
person,desires,good luck
razor,used for,cut
arm,used for,lift thing
see art,used for,education
go on vacation,used for,relaxation
go on vacation,used for,see world
skate,motivated by goal,exercise
empty your bladder,motivated by goal,it be full
river,used for,fish
river,used for,swim
hammer,used for,hit nail
drive,has subevent,turn steer wheel
someone,capable of,walk dog
stair,at location,house
diminish your own hunger,causes,satisfaction
dance,used for,exercise
castle,made of,stone
plum,is a,fruit
eyeglass case,used for,store eyeglass
serve customer,has subevent,be polite
drawer,used for,store thing
child,has property,innocent
do housework,used for,clean house
go for haircut,used for,look good
farmer,capable of,grow corn
play guitar,motivated by goal,make music
chop firewood,motivated by goal,build fire
take in film,motivated by goal,be entertain
go somewhere,has subevent,travel
bus,is a,form of mass transit
die,has prequisite,live
have bath,causes,get wet
change society,has subevent,change yourself
lie,causes,distrust
howl with laughter,causes,stomach pain
text,is a,book
horse ride,is a,olympic sport
alphabet,is a,series of letter
see movie,causes,entertainment
adult,capable of,help child
soak in hotspring,motivated by goal,relax
tape dispenser,used for,dispense tape
write,has first subevent,think
toy ball,used for,play
steam,has property,hot
awake,has prequisite,be asleep
royal flush,is a,great poker hand
trophy,is a,reward for win contest
hourglass,is a,old way of tell time
piccolo,is a,musical instrument
butter,at location,pastry
move sidewalk,at location,airport
many book,at location,library
church,at location,city
horse,at location,stall
small dog,at location,cage
river,at location,valley
cable,at location,computer
bar service,at location,hotel
grape,at location,fruit stand
locker room,at location,health club
fox,at location,england
checkbook cover,at location,purse
saucepan,at location,kitchen
elephant,at location,africa
fungus,at location,shower stall
front garden,at location,front yard
small dog,at location,small dog house
shop bag,at location,supermarket
store,at location,city
mountain,at location,colorado
lemur,at location,hole
paper bill,at location,wallet
buffet,at location,restaurant
bread,at location,supermarket
self adhesive label,at location,office supply store
aisle,at location,church
small dog,at location,bed
duck,at location,lake
glass front cupboard,at location,kitchen
bake oven,at location,kitchen
national highway,at location,unite state
mouse,at location,attic
floor,at location,house
rod,at location,engine
weasel,at location,henhouse
doctor examination room,at location,hospital
jellyfish,at location,pacific ocean
bus shelter,at location,city
paper,at location,notebook
paper punch,at location,desk drawer
jean,at location,clothe store
bass baritone,at location,choir
eye,at location,face
bus seat,at location,bus
